model,source_panel,target_panel,distance,abs_error
Ridge,USP,NCRIPS,157.58782913286473,58.09054628937425
Ridge,USP,NCRIPS,135.2982512783111,47.835277141672655
Ridge,USP,NCRIPS,137.53851190195257,49.464469551155794
Ridge,USP,NCRIPS,131.59744856155154,46.03192821427437
Ridge,USP,NCRIPS,137.70124028332364,53.663059400080364
Ridge,USP,NCRIPS,139.5628443628036,11.672050133633544
Ridge,USP,NCRIPS,169.80874413264021,33.846260684411455
Ridge,USP,NCRIPS,157.98280657103356,48.13364236892884
Ridge,USP,NCRIPS,149.44641733772798,44.32159647378407
Ridge,USP,NCRIPS,130.32942005212465,28.052548105877108
Ridge,USP,NCRIPS,147.59286504655128,52.649975962963
Ridge,USP,NCRIPS,131.01187774356504,53.59125102037839
Ridge,USP,NCRIPS,113.45037528998839,46.222486523673744
Ridge,USP,NCRIPS,113.84377399707377,7.2611743474036325
Ridge,USP,NCRIPS,81.35777641238174,39.85551293125491
Ridge,USP,NCRIPS,151.27715252434245,10.939731537222306
Ridge,USP,NCRIPS,158.83125592714484,9.095103895740477
Ridge,USP,NCRIPS,118.33812090371292,28.121205604960835
Ridge,USP,NCRIPS,123.4382192031177,22.61419366521782
Ridge,USP,NCRIPS,154.37970033961,15.916034271362797
Ridge,USP,NCRIPS,161.8117161448705,7.0741537024052406
Ridge,USP,NCRIPS,167.61331658843844,47.149750493165214
Ridge,USP,NCRIPS,168.501692671803,21.769793114061113
Ridge,USP,NCRIPS,81.28792933619049,0.673784139105631
Ridge,USP,NCRIPS,88.38697566654122,27.650356220491965
Ridge,USP,NCRIPS,62.411626900063375,19.44002364410448
Ridge,USP,NCRIPS,119.42225424601742,2.4822342132148605
Ridge,USP,NCRIPS,97.88321405547443,69.11450077680233
Ridge,USP,NCRIPS,81.37623465411517,36.47508861896926
Ridge,USP,NCRIPS,82.95962087736663,34.0099035673328
Ridge,USP,NCRIPS,168.34323109294,27.044340515021503
Ridge,USP,NCRIPS,39.95325696372442,39.3873326586867
Ridge,USP,NCRIPS,121.04557680596449,17.59520296567284
Ridge,USP,NCRIPS,85.19549775379335,33.410852817969555
Ridge,USP,NCRIPS,99.32995079332063,8.537207452997318
Ridge,USP,NCRIPS,74.0757180264115,30.912845576582207
Ridge,USP,NCRIPS,43.51669181943638,27.031220425025353
Ridge,USP,NCRIPS,78.09314474882441,28.85344840766802
Ridge,USP,NCRIPS,67.69703249511234,34.10621703746239
Ridge,USP,NCRIPS,66.1628480574034,68.92986459737111
Ridge,USP,NCRIPS,45.647935772941864,22.97636658972669
Ridge,USP,NCRIPS,59.58767652634055,56.133816797472576
Ridge,USP,NCRIPS,45.560276413573774,29.366311240615094
Ridge,USP,NCRIPS,79.2819932671903,19.92148984893157
Ridge,USP,NCRIPS,83.2571215456304,39.64663915385847
Ridge,USP,NCRIPS,51.848342245112406,0.4904293002847391
Ridge,USP,NCRIPS,76.36559363695326,8.361737296859555
Ridge,USP,NCRIPS,87.01359481205131,42.237615936248
Ridge,USP,NCRIPS,91.43918498068982,30.88336051382626
Ridge,USP,NCRIPS,98.23227324262652,11.560519077223333
Ridge,USP,NCRIPS,104.05451718302399,23.679212607643823
Ridge,USP,NCRIPS,82.29740066228278,23.438047580511927
Ridge,USP,NCRIPS,104.83374200122394,20.856364004930242
Ridge,USP,NCRIPS,67.42457635941189,35.34540291133425
Ridge,USP,NCRIPS,105.98439069420922,18.696915276539084
Ridge,USP,NCRIPS,91.27726304498208,32.00455660150027
Ridge,USP,NCRIPS,101.84896191787871,32.78589381578047
Ridge,USP,NCRIPS,85.7764295247519,43.9940751939168
Ridge,USP,NCRIPS,92.83198213734265,17.626862516649236
Ridge,USP,NCRIPS,138.95210821903302,4.376151281124698
Ridge,USP,NCRIPS,91.11077988699367,21.138857026277524
Ridge,USP,NCRIPS,99.6604941168529,19.77391851515263
Ridge,USP,NCRIPS,96.36699533241465,50.62482903581397
Ridge,USP,NCRIPS,81.39324154655733,17.9681825502646
